Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,uSRAM 1K,LSRAM 18K,PLLs and CCCs,Chip Globals,HPMS,CAN,10/100/1000 Ethernet,HS USB,Multi-Mode UART,RCOSC_50MHZ
Primitives/Primitives,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0
WB2AHBL_0/Primitives,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_Minimal_0/neorv32_inst/Primitives,15,24,0,0,0,0,0,0,1,0,0,0,0,0,0
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_core_bus_switch_inst/Primitives,72,4,0,0,0,0,0,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_alu_inst/Primitives,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_alu_inst/neorv32_cpu_cp_shifter_inst/Primitives,75,39,0,0,0,0,0,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/Primitives,1030,607,0,0,0,0,0,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/prefetch_buffer.0.prefetch_buffer_inst/Primitives,25,38,0,0,0,0,0,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/prefetch_buffer.1.prefetch_buffer_inst/Primitives,30,36,0,0,0,0,0,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_lsu_inst/Primitives,35,104,0,0,0,0,0,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_regfile_inst/Primitives,54,0,72,72,0,2,0,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_Minimal_0/neorv32_inst/io_system.neorv32_bus_io_switch_inst/Primitives,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_Minimal_0/neorv32_inst/io_system.neorv32_gpio_inst_true.neorv32_gpio_inst/Primitives,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_Minimal_0/neorv32_inst/io_system.neorv32_mtime_inst_true.neorv32_mtime_inst/Primitives,285,166,0,0,0,0,0,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_Minimal_0/neorv32_inst/io_system.neorv32_sysinfo_inst/Primitives,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_Minimal_0/neorv32_inst/io_system.neorv32_uart0_inst_true.neorv32_uart0_inst/Primitives,120,109,0,0,0,0,0,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_Minimal_0/neorv32_inst/io_system.neorv32_uart0_inst_true.neorv32_uart0_inst/rx_engine_fifo_inst/Primitives,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_Minimal_0/neorv32_inst/io_system.neorv32_uart0_inst_true.neorv32_uart0_inst/tx_engine_fifo_inst/Primitives,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_Minimal_0/neorv32_inst/memory_system.neorv32_int_dmem_inst_true.neorv32_int_dmem_inst/Primitives,5,2,144,144,0,0,4,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_Minimal_0/neorv32_inst/memory_system.neorv32_wishbone_inst_true.neorv32_wishbone_inst/Primitives,49,113,0,0,0,0,0,0,0,0,0,0,0,0,0
neorv32_ProcessorTop_Minimal_0/neorv32_inst/neorv32_bus_gateway_inst/Primitives,29,8,0,0,0,0,0,0,0,0,0,0,0,0,0
top_sb_0/CCC_0/Primitives,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
top_sb_0/CORERESETP_0/Primitives,9,41,0,0,0,0,0,0,2,0,0,0,0,0,0
top_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/Primitives,42,51,0,0,0,0,0,0,0,0,0,0,0,0,0
top_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/default_slave_sm/Primitives,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
top_sb_0/CoreAHBLite_0/matrix4x16/slavestage_16/Primitives,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0
top_sb_0/CoreAHBLite_0/matrix4x16/slavestage_16/slave_arbiter/Primitives,52,5,0,0,0,0,0,0,0,0,0,0,0,0,0
top_sb_0/FABOSC_0/Primitives,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
top_sb_0/top_sb_HPMS_0/Primitives,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
